,rl_yaw,rl_roll,rl_pitch
726,-11.6875,-14.8125,-69.875
727,-11.25,-14.625,-65.25
728,-10.3125,-14.3125,-59.8125
729,-9.4375,-13.8125,-54.625
730,-9.375,-13.5,-48.875
731,-9.25,-13.25,-44.125
732,-8.9375,-13.0,-39.75
733,-8.375,-12.6875,-35.3125
734,-8.625,-12.25,-31.375
735,-8.0625,-11.4375,-27.125
736,-7.625,-10.6875,-23.125
737,-6.875,-9.9375,-20.1875
738,-6.875,-9.25,-17.9375
739,-7.75,-8.125,-14.6875
740,-8.6875,-7.375,-13.0
741,-9.875,-7.1875,-12.625
742,-9.6875,-7.25,-12.375
743,-10.4375,-7.125,-12.1875
744,-11.125,-7.0,-12.8125
745,-12.0625,-6.875,-14.125
746,-13.6875,-7.5,-16.4375
747,-15.125,-8.25,-19.625
748,-16.0,-8.875,-23.4375
749,-17.0,-9.625,-27.25
750,-17.875,-10.375,-31.5625
751,-18.9375,-11.1875,-37.6875
752,-19.125,-11.8125,-43.8125
753,-18.9375,-12.5625,-50.125
754,-19.0,-13.5,-56.6875
755,-19.8125,-14.125,-62.75
